Number,Date,Team.Stats.for,Match.x,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,PensConceded,Free.Kicks,Scrum.Pens,LO.Pens,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away,Match.y,Total.Penalty.Conceded,Lineout.Penalty,Scrum.Penalty
1,01/01/2021,Cardiff,Cardiff Blues v Ospreys,0,1,0,0,0,0,78,302,8,4,89,99,12,11,34,7,7,16,2,3,2,51,1,19,1,7,2,7,3,0,3,0,Regular,S20,3,17,-14,L,H,Cardiff vs Ospreys,18,2,6
2,01/01/2021,Dragons,Scarlets v Dragons,0,1,0,0,1,0,110,346,10,4,129,103,19,13,41,3,7,14,1,6,1,77,2,10,1,1,1,6,2,0,1,0,Regular,S20,3,20,-17,L,A,Scarlets vs Dragons,9,1,0
3,01/01/2021,Ospreys,Cardiff Blues v Ospreys,2,1,1,0,1,1,85,294,12,2,121,73,8,11,38,5,4,22,0,8,1,60,3,9,0,2,1,3,2,1,1,0,Regular,S20,17,3,14,W,A,Cardiff vs Ospreys,9,1,2
4,01/01/2021,Scarlets,Scarlets v Dragons,2,2,2,0,0,0,127,379,19,7,152,108,10,19,40,13,6,15,2,4,1,76,2,9,1,2,1,5,1,0,0,0,Regular,S20,20,3,17,W,H,Scarlets vs Dragons,8,0,2
5,01/11/2020,Dragons,Dragons v Munster,2,2,0,0,3,0,113,173,9,3,113,123,19,6,37,3,7,13,5,7,1,86,2,17,2,4,2,7,3,1,0,0,Regular,S20,16,28,-12,L,H,Dragons vs Munster,15,0,4
6,01/11/2020,Edinburgh,Scarlets v Edinburgh,0,2,0,0,0,0,70,189,15,1,59,103,15,17,25,0,6,12,4,11,0,62,1,5,1,2,1,1,1,0,0,0,Regular,S20,6,3,3,W,A,Scarlets vs Edinburgh,4,1,1
7,01/11/2020,Munster,Dragons v Munster,3,3,2,0,1,0,123,424,19,8,122,126,9,16,34,10,4,18,1,3,0,77,4,15,2,3,0,6,6,0,0,0,Regular,S20,28,16,12,W,A,Dragons vs Munster,13,0,1
8,01/11/2020,Scarlets,Scarlets v Edinburgh,0,1,0,0,0,0,79,240,15,2,94,92,15,8,24,5,6,8,2,4,2,69,4,21,2,10,1,6,3,1,1,1,Regular,S20,3,6,-3,L,H,Scarlets vs Edinburgh,19,0,9
9,02/01/2021,Benetton,Benetton v Zebre,2,1,1,0,1,0,127,275,13,3,136,90,13,10,26,3,7,17,3,5,1,101,7,11,1,2,0,6,1,2,1,0,Regular,S20,15,24,-9,L,H,Benetton vs Zebre,10,0,1
10,02/01/2021,Connacht,Leinster v Connacht,4,3,3,0,2,0,87,295,14,1,124,180,39,11,30,3,9,14,1,5,1,75,4,11,2,3,1,4,1,2,0,0,Regular,S20,35,24,11,W,A,Leinster vs Connacht,9,1,1
11,02/01/2021,Edinburgh,Edinburgh v Glasgow Warriors,1,1,1,0,0,0,83,182,9,3,87,165,15,13,28,1,9,10,6,12,1,71,1,10,1,1,0,6,3,0,0,0,Regular,S20,10,7,3,W,H,Edinburgh vs Glasgow,9,0,0
12,02/01/2021,Glasgow,Edinburgh v Glasgow Warriors,1,0,1,0,1,0,135,275,15,9,181,113,9,12,23,5,5,13,1,5,0,108,4,19,1,8,0,8,2,1,0,0,Regular,S20,7,10,-3,L,A,Edinburgh vs Glasgow,18,0,7
13,02/01/2021,Leinster,Leinster v Connacht,4,0,2,0,2,0,145,576,39,6,154,132,14,13,18,8,4,13,2,4,0,117,5,10,0,0,1,6,3,0,0,0,Regular,S20,24,35,-11,L,H,Leinster vs Connacht,10,1,0
