season,team,match_location,outcome,outcome_binary,final_points_absolute,final_points_relative,abs_carries,abs_metres_made,abs_defenders_beaten,abs_clean_breaks,abs_offloads,abs_passes,abs_turnovers_conceded,abs_turnovers_won,abs_kicks_from_hand,abs_kick_metres,abs_scrums_won,abs_rucks_won,abs_lineout_throws_lost,abs_lineout_throws_won,abs_tackles,abs_missed_tackles,abs_penalties_conceded,abs_scrum_pens_conceded,abs_lineout_pens_conceded,abs_general_play_pens_conceded,abs_free_kicks_conceded,abs_ruck_maul_tackle_pen_con,abs_red_cards,abs_yellow_cards,rel_carries,rel_metres_made,rel_defenders_beaten,rel_clean_breaks,rel_offloads,rel_passes,rel_turnovers_conceded,rel_turnovers_won,rel_kicks_from_hand,rel_kick_metres,rel_scrums_won,rel_rucks_won,rel_lineout_throws_lost,rel_lineout_throws_won,rel_tackles,rel_missed_tackles,rel_penalties_conceded,rel_scrum_pens_conceded,rel_lineout_pens_conceded,rel_general_play_pens_conceded,rel_free_kicks_conceded,rel_ruck_maul_tackle_pen_con,rel_red_cards,rel_yellow_cards
21/22,Zebre Parma,home,loss,0,26,-12,105,398,17,7,17,174,15,7,15,734,6,8,2,16,75,19,12,2,0,3,0,2,0,0,34,67,-2,3,10,89,4,-3,-6,-134,1,2,0,6,-46,2,-2,0,-1,3,-1,0,0,-1
21/22,Emirates Lions,away,win,1,38,12,71,331,19,4,7,85,11,10,21,868,5,6,2,10,121,17,14,2,1,0,1,2,0,1,-34,-67,2,-3,-10,-89,-4,3,6,134,-1,-2,0,-6,46,-2,2,0,1,-3,1,0,0,1
21/22,Glasgow Warriors,away,loss,0,29,-6,165,298,23,5,8,173,14,7,25,719,11,8,0,11,121,11,9,0,0,1,0,2,0,1,73,-7,12,-1,2,72,1,4,6,130,6,2,-4,0,-93,-12,1,-2,0,-1,0,0,0,0
21/22,Ulster Rugby,home,win,1,35,6,92,305,11,6,6,101,13,3,19,589,5,6,4,11,214,23,8,2,0,2,0,2,0,1,-73,7,-12,1,-2,-72,-1,-4,-6,-130,-6,-2,4,0,93,12,-1,2,0,1,0,0,0,0
21/22,Connacht Rugby,away,loss,0,21,-12,88,330,23,5,42,107,17,8,19,863,5,5,4,15,131,23,9,0,0,2,0,3,0,2,-61,-188,0,-4,-19,-76,1,1,-7,-137,-3,2,4,5,59,0,-4,-4,0,-2,-1,0,0,1
21/22,Cardiff Rugby,home,win,1,33,12,149,518,23,9,61,183,16,7,26,1000,8,3,0,10,72,23,13,4,0,4,1,3,0,1,61,188,0,4,19,76,-1,-1,7,137,3,-2,-4,-5,-59,0,4,4,0,2,1,0,0,-1
21/22,Benetton Rugby,home,win,1,22,4,147,431,21,4,20,144,10,5,25,935,7,13,1,17,48,16,10,0,0,1,0,1,0,0,89,190,5,-1,14,66,0,-2,1,-121,2,8,-2,7,-151,-5,-1,-2,0,-2,0,-1,0,0
21/22,DHL Stormers,away,loss,0,18,-4,58,241,16,5,6,78,10,7,24,1056,5,5,3,10,199,21,11,2,0,3,0,2,0,0,-89,-190,-5,1,-14,-66,0,2,-1,121,-2,-8,2,-7,151,5,1,2,0,2,0,1,0,0
21/22,Vodacom Bulls,away,loss,0,3,-28,124,375,17,4,14,133,15,5,23,1108,5,5,3,13,128,31,11,4,0,3,1,2,0,0,-7,-243,-14,-2,0,-34,1,-3,-2,38,-1,-1,3,0,-20,14,-4,1,0,-2,0,-2,0,0
21/22,Leinster Rugby,home,win,1,31,28,131,618,31,6,14,167,14,8,25,1070,6,6,0,13,148,17,15,3,0,5,1,4,0,0,7,243,14,2,0,34,-1,3,2,-38,1,1,-3,0,20,-14,4,-1,0,2,0,2,0,0
