Team,Match_ID,Outcome,Carries,Metres_Made,Defenders_Beaten,Offloads,Passes,Tackles,Clean_Breaks,Turnovers_Won,Rucks_Won,Lineout_Throws_Won,Season,Match_Location
Zebre Parma,268093,loss,105,398,17,17,174,75,7,7,8,16,21/22,home
Emirates Lions,268093,win,71,331,19,7,85,121,4,10,6,10,21/22,away
Glasgow Warriors,268094,loss,165,298,23,8,173,121,5,7,8,11,21/22,away
Ulster Rugby,268094,win,92,305,11,6,101,214,6,3,6,11,21/22,home
Connacht Rugby,268095,loss,88,330,23,42,107,131,5,8,5,15,21/22,away
Cardiff Rugby,268095,win,149,518,23,61,183,72,9,7,3,10,21/22,home
Benetton Rugby,268096,win,147,431,21,20,144,48,4,5,13,17,21/22,home
DHL Stormers,268096,loss,58,241,16,6,78,199,5,7,5,10,21/22,away
Vodacom Bulls,268097,loss,124,375,17,14,133,128,4,5,5,13,21/22,away
Leinster Rugby,268097,win,131,618,31,14,167,148,6,8,6,13,21/22,home
Scarlets,268098,loss,106,371,13,41,128,137,8,10,6,16,21/22,away
Edinburgh Rugby,268098,win,118,399,32,24,141,100,8,9,10,7,21/22,home
Munster Rugby,268099,win,133,400,10,17,156,104,6,4,6,17,21/22,home
Hollywoodbets Sharks,268099,loss,80,311,17,4,103,148,4,4,4,9,21/22,away
Dragons RFC,268100,loss,117,309,9,4,146,120,2,6,6,14,21/22,home
Ospreys,268100,win,102,393,11,6,140,149,5,6,4,12,21/22,away
Vodacom Bulls,268101,loss,142,408,19,15,151,170,6,5,6,12,21/22,away
Connacht Rugby,268101,win,152,572,27,17,177,165,8,8,7,14,21/22,home
Emirates Lions,268102,loss,117,350,23,5,105,97,2,4,6,15,21/22,away
Scarlets,268102,win,103,571,12,7,146,155,7,8,8,7,21/22,home
Benetton Rugby,268103,win,117,357,18,4,127,86,3,3,5,14,21/22,home
Edinburgh Rugby,268103,loss,93,409,15,9,111,142,5,10,5,12,21/22,away
Glasgow Warriors,268104,win,121,426,15,24,155,97,7,5,4,11,21/22,home
Hollywoodbets Sharks,268104,loss,77,222,4,5,85,116,0,8,3,12,21/22,away
Zebre Parma,268105,loss,80,218,9,9,98,145,2,6,4,10,21/22,home
Ulster Rugby,268105,win,144,407,28,14,207,85,7,6,4,20,21/22,away
Dragons RFC,268106,loss,102,265,14,4,131,169,2,6,6,10,21/22,home
Leinster Rugby,268106,win,145,476,18,12,174,126,5,5,5,19,21/22,away
Ospreys,268107,win,75,170,5,6,87,153,1,8,6,17,21/22,home
Cardiff Rugby,268107,loss,126,432,12,8,178,90,6,7,6,9,21/22,away
Munster Rugby,268108,win,114,257,17,9,103,106,1,3,5,12,21/22,home
DHL Stormers,268108,loss,117,421,24,22,136,120,6,5,11,15,21/22,away
Benetton Rugby,268109,loss,116,202,9,8,110,150,1,6,5,12,21/22,away
Ulster Rugby,268109,win,122,298,13,7,142,142,3,4,3,14,21/22,home
Hollywoodbets Sharks,268110,win,90,451,14,9,113,103,8,9,5,8,21/22,away
Ospreys,268110,loss,87,352,15,3,134,95,2,9,2,13,21/22,home
Leinster Rugby,268111,win,169,646,37,10,225,66,7,5,7,14,21/22,home
Zebre Parma,268111,loss,67,267,15,8,87,157,3,11,3,9,21/22,away
Glasgow Warriors,268112,win,95,386,20,11,125,73,6,5,5,9,21/22,home
Emirates Lions,268112,loss,64,205,4,6,75,85,0,5,5,11,21/22,away
Connacht Rugby,268113,loss,147,424,20,14,163,151,5,6,8,14,21/22,home
Dragons RFC,268113,win,122,355,24,6,136,181,5,9,4,7,21/22,away
Cardiff Rugby,268115,loss,119,332,7,12,163,115,2,6,5,9,21/22,home
Vodacom Bulls,268115,win,94,355,22,8,97,123,4,8,9,14,21/22,away
Munster Rugby,268116,win,109,411,20,8,98,89,7,7,4,12,21/22,away
Scarlets,268116,loss,99,231,9,13,159,124,3,4,9,17,21/22,home
Emirates Lions,268117,loss,125,375,17,7,146,199,5,12,4,11,21/22,away
Ulster Rugby,268117,win,178,454,32,15,245,149,7,6,9,19,21/22,home
Dragons RFC,268118,loss,108,288,12,9,138,148,4,2,2,9,21/22,home
DHL Stormers,268118,win,118,299,18,10,109,122,2,5,3,9,21/22,away
Zebre Parma,268119,loss,81,285,16,17,127,144,2,6,9,13,21/22,home
Glasgow Warriors,268119,win,121,337,21,8,131,91,4,6,9,10,21/22,away
Ospreys,268120,win,90,371,16,13,109,132,3,6,2,13,21/22,away
Benetton Rugby,268120,loss,128,539,28,11,173,73,8,3,6,13,21/22,home
Scarlets,268121,loss,83,280,12,7,112,143,3,8,5,6,21/22,away
Leinster Rugby,268121,win,151,628,32,20,206,88,11,6,5,13,21/22,home
Edinburgh Rugby,268122,win,113,362,26,9,116,130,5,14,8,13,21/22,home
Vodacom Bulls,268122,loss,96,260,18,7,89,121,3,6,8,13,21/22,away
Munster Rugby,268123,win,140,374,17,7,107,75,3,9,6,13,21/22,home
Connacht Rugby,268123,loss,72,261,17,2,80,178,2,6,8,8,21/22,away
Hollywoodbets Sharks,268124,loss,97,251,12,4,96,102,1,9,6,15,21/22,away
Cardiff Rugby,268124,win,98,325,14,5,112,114,4,12,5,7,21/22,home
Benetton Rugby,268125,loss,148,458,14,10,185,83,6,4,5,18,21/22,away
Scarlets,268125,win,96,330,14,5,113,157,6,9,4,10,21/22,home
Zebre Parma,268126,loss,72,150,8,11,94,130,1,10,5,9,21/22,home
Edinburgh Rugby,268126,win,118,372,23,13,157,73,5,6,10,18,21/22,away
Glasgow Warriors,268127,loss,151,295,19,13,176,139,3,4,7,13,21/22,home
Leinster Rugby,268127,win,121,381,17,5,145,177,6,10,2,9,21/22,away
Connacht Rugby,268128,win,127,541,12,11,135,129,7,14,7,10,21/22,home
Ulster Rugby,268128,loss,99,300,22,6,121,131,2,10,9,16,21/22,away
Cardiff Rugby,268129,win,93,294,9,4,87,175,5,7,8,14,21/22,home
