Number,Date,Team.Stats.for,Match,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,Total.Penalty.Conceded,Free.Kicks,Scrum.Penalty,Lineout.Penalty,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away
89,14/03/2021,Benetton,Benetton v Cardiff Blues,-2,-1,-1,0,-1,0,-20,-81,-7,-2,18,19,7,9,-8,1,-5,3,-1,-4,-2,-22,2,2,0,-1,0,6,-2,-1,0,0,Regular,S20,14,29,-15,L,H
90,14/03/2021,Cardiff,Benetton v Cardiff Blues,2,1,1,0,1,0,20,81,7,2,-18,-19,-7,-9,8,-1,5,-3,1,4,2,22,-2,-2,0,1,0,-6,2,1,0,0,Regular,S20,29,14,15,W,A
155,26/02/2021,Benetton,Benetton v Connacht,-1,1,0,0,-1,0,38,109,4,-1,110,-60,-4,8,-2,-1,-4,9,-1,-3,0,42,3,0,2,-1,0,1,1,-1,-1,0,Regular,S20,17,19,-2,L,H
157,26/02/2021,Connacht,Benetton v Connacht,1,-1,0,0,1,0,-38,-109,-4,1,-110,60,4,-8,2,1,4,-9,1,3,0,-42,-3,0,-2,1,0,-1,-1,1,1,0,Regular,S20,19,17,2,W,A
181,29/11/2020,Benetton,Benetton v Dragons,0,-3,1,0,-3,0,62,270,11,2,72,-77,-11,1,-9,-2,-6,9,0,2,1,38,5,7,0,0,-1,7,2,-1,0,0,Regular,S20,19,26,-7,L,H
183,29/11/2020,Dragons,Benetton v Dragons,0,3,-1,0,3,0,-62,-270,-11,-2,-72,77,11,-1,9,2,6,-9,0,-2,-1,-38,-5,-7,0,0,1,-7,-2,1,0,0,Regular,S20,26,19,7,W,A
69,10/10/2020,Benetton,Benetton v Leinster,-1,-1,-1,0,1,-1,7,-148,7,1,51,-14,-7,1,-6,-2,-4,6,1,1,0,7,-1,-4,-1,1,-1,-3,1,-1,0,0,Regular,S20,25,37,-12,L,H
73,10/10/2020,Leinster,Benetton v Leinster,1,1,1,0,-1,1,-7,148,-7,-1,-51,14,7,-1,6,2,4,-6,-1,-1,0,-7,1,4,1,-1,1,3,-1,1,0,0,Regular,S20,37,25,12,W,A
185,30/01/2021,Benetton,Benetton v Munster,0,1,-1,-1,1,0,64,71,14,11,107,-95,-14,0,-3,5,0,5,2,0,0,59,-4,-2,1,0,0,-2,-1,0,1,0,Regular,S20,16,18,-2,L,H
187,30/01/2021,Munster,Benetton v Munster,0,-1,1,1,-1,0,-64,-71,-14,-11,-107,95,14,0,3,-5,0,-5,-2,0,0,-59,4,2,-1,0,0,2,1,0,-1,0,Regular,S20,18,16,2,W,A
141,23/10/2020,Benetton,Benetton v Scarlets,-1,0,-1,0,0,0,58,32,15,5,51,-81,-15,1,1,-4,-5,-4,-2,2,2,55,-3,-2,0,1,0,-1,0,-2,0,-1,Regular,S20,3,10,-7,L,H
143,23/10/2020,Scarlets,Benetton v Scarlets,1,0,1,0,0,0,-58,-32,-15,-5,-51,81,15,-1,-1,4,5,4,2,-2,-2,-55,3,2,0,-1,0,1,0,2,0,1,Regular,S20,10,3,7,W,A
9,02/01/2021,Benetton,Benetton v Zebre,0,-3,0,0,0,0,50,14,0,1,55,-72,0,2,-4,2,1,8,2,1,1,45,3,-1,0,0,-2,0,0,1,0,0,Regular,S20,15,24,-9,L,H
16,02/01/2021,Zebre,Benetton v Zebre,0,3,0,0,0,0,-50,-14,0,-1,-55,72,0,-2,4,-2,-1,-8,-2,-1,-1,-45,-3,1,0,0,2,0,0,-1,0,0,Regular,S20,24,15,9,W,A
97,16/11/2020,Benetton,Cardiff Blues v Benetton,-2,-1,-2,0,0,0,-15,29,-6,1,-13,12,6,1,4,-3,5,1,-1,-3,0,-7,-3,5,0,2,0,3,0,0,1,0,Regular,S20,5,22,-17,L,A
98,16/11/2020,Cardiff,Cardiff Blues v Benetton,2,1,2,0,0,0,15,-29,6,-1,13,-12,-6,-1,-4,3,-5,-1,1,3,0,7,3,-5,0,-2,0,-3,0,0,-1,0,Regular,S20,22,5,17,W,H
70,10/10/2020,Cardiff,Cardiff Blues v Connacht,3,1,1,0,1,1,-29,145,6,3,-31,56,-6,-7,1,9,6,-3,0,0,1,-38,-3,0,3,-1,0,5,-2,-2,0,0,Regular,S20,29,7,22,W,H
71,10/10/2020,Connacht,Cardiff Blues v Connacht,-3,-1,-1,0,-1,-1,29,-145,-6,-3,31,-56,6,7,-1,-9,-6,3,0,0,-1,38,3,0,-3,1,0,-5,2,2,0,0,Regular,S20,7,29,-22,L,A
125,22/03/2021,Cardiff,Cardiff Blues v Edinburgh,2,1,3,0,0,0,-29,-153,-8,4,-51,57,8,1,-4,1,5,1,0,0,0,-34,-4,-5,0,-1,0,-2,-2,0,0,0,Regular,S20,34,15,19,W,H
127,22/03/2021,Edinburgh,Cardiff Blues v Edinburgh,-2,-1,-3,0,0,0,29,153,8,-4,51,-57,-8,-1,4,-1,-5,-1,0,0,0,34,4,5,0,1,0,2,2,0,0,0,Regular,S20,15,34,-19,L,A
182,29/11/2020,Cardiff,Cardiff Blues v Glasgow Warriors,0,-3,0,0,-1,0,-52,-179,4,1,-41,75,-4,1,-4,2,-2,9,0,-1,0,-58,3,5,1,-1,1,2,1,2,1,0,Regular,S20,10,19,-9,L,H
